Destination,Location,Cost,Duration,Category,Rating
Shimla,Delhi,8050.0,3,Adventure,4.2
Kerala,Kerala,9696.0,4,Historical,4.2
Delhi,Himachal,9087.5,5,City,3.7
Kerala,Maharashtra,12839.0,5,Adventure,3.6
Agra,Maharashtra,12087.0,7,Nature,4.2
Agra,Rajasthan,9378.0,4,Beach,4.2
Mumbai,Maharashtra,11206.0,1,Beach,4.6
Mumbai,Himachal,6369.0,4,Historical,4.2
Ladakh,Goa,12607.0,7,City,4.2
Pune,Ladakh,11494.0,4,Historical,4.5
Pune,Delhi,9087.5,4,Adventure,4.3
Goa,Up,6871.0,4,Beach,4.2
Kerala,Delhi,6419.0,4,Historical,4.5
Delhi,Maharashtra,9087.5,4,Nature,4.9
Manali,Rajasthan,12771.0,4,Adventure,4.2
Delhi,Goa,9087.5,4,Historical,4.2
Delhi,Delhi,11666.0,2,Beach,4.2
Agra,Maharashtra,10858.0,4,Mountain,4.2
Jaipur,Rajasthan,13198.0,5,Nature,4.9
Shimla,Maharashtra,9087.5,3,Beach,4.2
Pune,Rajasthan,10782.0,4,Historical,4.2
Shimla,Maharashtra,12847.0,4,Historical,4.9
Agra,Himachal,8301.0,6,City,4.2
Shimla,Kerala,9087.5,6,Nature,4.4
Mumbai,Himachal,13370.0,4,Historical,4.2
Manali,Ladakh,14341.0,2,Historical,4.2
Shimla,Maharashtra,9087.5,4,Mountain,4.6
Manali,Kerala,9087.5,4,Historical,4.2
Pune,Delhi,7101.0,4,City,4.9
Ladakh,Rajasthan,9087.5,4,Historical,4.2
Jaipur,Kerala,5631.0,6,City,4.2
Delhi,Maharashtra,11128.0,3,Adventure,3.5
Delhi,Maharashtra,10013.0,4,Beach,3.7
Ladakh,Ladakh,8364.0,4,Mountain,4.7
Kerala,Ladakh,5338.0,4,Historical,4.2
Mumbai,Delhi,9087.5,7,Adventure,4.2
Manali,Rajasthan,9087.5,4,Historical,4.8
Jaipur,Kerala,9087.5,4,Beach,4.5
Jaipur,Kerala,9087.5,4,Adventure,4.2
Jaipur,Maharashtra,9087.5,3,Nature,4.6
Goa,Maharashtra,8926.0,4,Mountain,4.5
Jaipur,Up,9087.5,4,Adventure,4.2
Pune,Himachal,9087.5,4,Adventure,5.0
Delhi,Himachal,9087.5,4,City,4.7
Pune,Maharashtra,9087.5,7,City,4.2
Ladakh,Rajasthan,9087.5,7,Mountain,4.2
Delhi,Goa,9087.5,4,City,4.2
Manali,Delhi,9087.5,2,Historical,4.2
Shimla,Ladakh,5741.0,6,Adventure,4.2
Goa,Himachal,9087.5,4,Historical,3.9
Mumbai,Kerala,9890.0,1,Mountain,4.0
Ladakh,Up,9087.5,4,Nature,4.2
Pune,Up,9087.5,4,Historical,3.7
Manali,Up,8739.0,4,Adventure,4.2
Agra,Himachal,9087.5,3,Beach,3.6
Delhi,Kerala,9094.0,7,City,4.2
Mumbai,Maharashtra,5269.0,3,City,4.2
Shimla,Goa,12712.0,3,Historical,4.2
Agra,Himachal,10944.0,4,Nature,4.2
Ladakh,Ladakh,8357.0,5,City,4.1
Ladakh,Rajasthan,8250.0,4,Adventure,4.2
Manali,Delhi,9087.5,4,City,4.2
Kerala,Himachal,4403.0,4,City,4.2
Ladakh,Ladakh,8237.0,5,Historical,4.2
Shimla,Maharashtra,10449.0,4,Adventure,3.6
Kerala,Maharashtra,9087.5,4,Historical,4.2
Ladakh,Goa,10922.0,4,Beach,4.2
Kerala,Kerala,9521.0,5,Historical,4.2
Kerala,Rajasthan,4058.0,2,Mountain,3.8
Manali,Ladakh,9087.5,4,City,4.2
Agra,Delhi,9087.5,2,Adventure,4.5
Agra,Up,9087.5,5,Historical,4.2
Jaipur,Up,11429.0,3,Beach,4.2
Agra,Maharashtra,9087.5,4,Beach,4.2
Kerala,Ladakh,9087.5,5,Beach,4.2
Kerala,Ladakh,7469.0,4,Adventure,3.5
Delhi,Ladakh,9087.5,4,Nature,4.2
Ladakh,Delhi,9087.5,2,Mountain,4.2
Goa,Ladakh,6316.0,6,Adventure,4.2
Jaipur,Kerala,3849.0,6,Nature,3.6
