city_name,hotel_name,rating_category,hotel_rating,num_reviews,location,availability_status,link,currency,link_domain
Tromso-Suburb,Home Hotel With,Very Good,8.58,2556,Tromsø,Available,https://www.booking.com/hotel/no/home-hotel-with.en-gb.html,Pkr,Booking.Com
Berlin,Gray-Olsen Hotel,Very Good,8.7,1291,7282 Cruz Drive,Available,https://www.booking.com/hotel/792728b0.html,Pkr,Booking.Com
Casablanca,Luxury Spacious Apartment Midtown Casablanca,Fabulous,8.78,75,"Sidi Belyout, Casablanca",Available,https://www.booking.comhttps://www.booking.com/hotel/ma/luxury-spacious-apartment-midtown-casablanca.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9jYXNhYmxhbmNhSDNYBGi1AYgBAZgBM7gBB8gBDdgBA-gBAfgBAYgCAagCAbgCxZn4xwbAAgHSAiQ0ZWEzZDQ5NS1iMGI0LTQxZGYtODg3My0zMGU1MDgyYjg5NzbYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=99&sr_order=popularity&srpvid=551f54225131002a&srepoch=1761479878&from=searchresults,Pkr,Booking.Com
Stuttgart-Suburb,Aloft Stuttgart,Very Good,8.48,2372,"Stuttgart-Mitte, Stuttgart",Available,https://www.booking.com/hotel/de/aloft-hotels.en-gb.html,Pkr,Booking.Com
San Salvador,Hostal De Asturias,Fabulous,8.98,938,San Salvador,Available,https://www.booking.comhttps://www.booking.com/hotel/sv/hostal-de-asturias.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCE3NlYXJjaF9zYW4gc2FsdmFkb3JIM1gEaLUBiAEBmAEzuAEHyAEN2AED6AEB-AEBiAIBqAIBuALqn_jHBsACAdICJDlkNTg0NTJmLWU2NmItNGNmZS1iNjA1LWVjMmQ5ZGUzOWNmN9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=121&sr_order=popularity&srpvid=359455b566a80216&srepoch=1761480683&from=searchresults,Pkr,Booking.Com
Rome,"Richardson, Wilson and Young Hotel",Poor,5.5,2207,18526 Edwards Highway Suite 928,Unavailable,https://www.booking.com/hotel/ca8a735e.html,Pkr,Booking.Com
Leicester,Voco Leicester By Ihg,Fabulous,8.98,6250,Leicester,Available,https://www.booking.com/hotel/gb/voco-leicester-an-ihg-hotel.en-gb.html,Pkr,Booking.Com
Sierre,Le Président 2,Good,7.27,27,Sierre,Available,https://www.booking.com/hotel/ch/love-dream.en-gb.html,Pkr,Booking.Com
Alesund,"Penthouse By Brosundet, Free Parking Space",Good,7.37,176,Ålesund,Available,https://www.booking.com/hotel/no/penthouse-apartment-next-to-brosundet.en-gb.html,Pkr,Booking.Com
Dublin,Williams-Holt Hotel,Very Good,8.8,132,65968 James Corner Apt. 884,Available,https://www.booking.com/hotel/6288641d.html,Pkr,Booking.Com
