Destination,Location,Cost,Duration,Category,Rating
Shimla,Delhi,8050.0,3.0,Adventure,
Kerala,Kerala,9696.0,4.0,HISTORICAL,
Delhi,Himachal,,5.0,city,3.7
Kerala,Maharashtra,12839.0,5.0,Adventure,3.6
Agra,Maharashtra,12087.0,7.0,Nature,
Agra,Rajasthan,9378.0,,Beach,
Mumbai,Maharashtra,11206.0,1.0,Beach,4.6
Mumbai,Himachal,6369.0,4.0,HISTORICAL,
Ladakh,Goa,12607.0,7.0,City,
Pune,Ladakh,11494.0,4.0,Historical,4.5
Pune,Delhi,,,Adventure,4.3
Goa,UP,6871.0,,Beach,
Kerala,Delhi,6419.0,4.0,HISTORICAL,4.5
Delhi,Maharashtra,,4.0,Nature,4.9
Manali,Rajasthan,12771.0,,Adventure,
Delhi,Goa,,,HISTORICAL,
Delhi,Delhi,11666.0,2.0,Beach,4.2
Agra,Maharashtra,10858.0,,Mountain,
Jaipur,Rajasthan,13198.0,5.0,Nature,4.9
Shimla,Maharashtra,,3.0,Beach,
Pune,Rajasthan,10782.0,,HISTORICAL,
Shimla,Maharashtra,12847.0,,Historical,4.9
Agra,Himachal,8301.0,6.0,city,
Shimla,Kerala,,6.0,Nature,4.4
Mumbai,Himachal,13370.0,,HISTORICAL,
Manali,Ladakh,14341.0,2.0,Historical,
Shimla,Maharashtra,,4.0,Mountain,4.6
Manali,Kerala,,4.0,HISTORICAL,
Pune,Delhi,7101.0,,city,4.9
Ladakh,Rajasthan,,4.0,Historical,
Jaipur,Kerala,5631.0,6.0,City,
Delhi,Maharashtra,11128.0,3.0,Adventure,3.5
Delhi,Maharashtra,10013.0,,Beach,3.7
Ladakh,Ladakh,8364.0,,Mountain,4.7
Kerala,Ladakh,5338.0,,Historical,
Mumbai,Delhi,,7.0,Adventure,
Manali,Rajasthan,,,HISTORICAL,4.8
Jaipur,Kerala,,,Beach,4.5
Jaipur,Kerala,,,Adventure,
Jaipur,Maharashtra,,3.0,Nature,4.6
Goa,Maharashtra,8926.0,4.0,Mountain,4.5
Jaipur,UP,,4.0,Adventure,
Pune,Himachal,,,Adventure,5.0
Delhi,Himachal,,4.0,City,4.7
Pune,Maharashtra,,7.0,City,
Ladakh,Rajasthan,,7.0,Mountain,
Delhi,Goa,,4.0,city,
Manali,Delhi,,2.0,Historical,
Shimla,Ladakh,5741.0,6.0,Adventure,
Goa,Himachal,,,Historical,3.9
Mumbai,Kerala,9890.0,1.0,Mountain,4.0
Ladakh,UP,,,Nature,
Pune,UP,,4.0,HISTORICAL,3.7
Manali,UP,8739.0,,Adventure,
Agra,Himachal,,3.0,Beach,3.6
Delhi,Kerala,9094.0,7.0,City,
Mumbai,Maharashtra,5269.0,3.0,City,
Shimla,Goa,12712.0,3.0,HISTORICAL,
Agra,Himachal,10944.0,,Nature,
Ladakh,Ladakh,8357.0,5.0,City,4.1
Ladakh,Rajasthan,8250.0,,Adventure,
Manali,Delhi,,,city,
Kerala,Himachal,4403.0,,city,
Ladakh,Ladakh,8237.0,5.0,HISTORICAL,
Shimla,Maharashtra,10449.0,,Adventure,3.6
Kerala,Maharashtra,,4.0,HISTORICAL,
Ladakh,Goa,10922.0,,Beach,
Kerala,Kerala,9521.0,5.0,Historical,
Kerala,Rajasthan,4058.0,2.0,Mountain,3.8
Manali,Ladakh,,,city,
Agra,Delhi,,2.0,Adventure,4.5
Agra,UP,,5.0,Historical,
Jaipur,UP,11429.0,3.0,Beach,
Agra,Maharashtra,,,Beach,
Kerala,Ladakh,,5.0,Beach,
Kerala,Ladakh,7469.0,,Adventure,3.5
Delhi,Ladakh,,4.0,Nature,
